Timestamp,Comment,IsVisitorAccessAllowed,Plate,ResidentFoundCount,VisitorFoundCount,,TagImage
2021-09-20T16:07:00.457Z,,FALSE,HGLJ37,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160659726_HGLJ37.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160659726_HGLJ37.jpeg
2021-09-20T16:07:23.775Z,,FALSE,QLUN02,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160723168_QLUN02.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160723168_QLUN02.jpeg
2021-09-20T16:08:12.296Z,,FALSE,NBEH90,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160811345_NBEH90.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160811345_NBEH90.jpeg
2021-09-20T16:08:45.736Z,,FALSE,QIZZ69,2,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160844912_QIZZ69.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160844912_QIZZ69.jpeg
2021-09-20T16:09:14.003Z,,FALSE,QPCF68,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160913811_QPCF68.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_160913811_QPCF68.jpeg
2021-09-20T16:12:42.544Z,,FALSE,NGKV75,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161242915_NGKV75.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161242915_NGKV75.jpeg
2021-09-20T16:13:58.537Z,,FALSE,EHQK89,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161357828_EHQK89.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161357828_EHQK89.jpeg
2021-09-20T16:14:30.936Z,,FALSE,PWHF40,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161430337_PWHF40.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161430337_PWHF40.jpeg
2021-09-20T16:14:47.196Z,,FALSE,IPLG37,2,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161446719_IPLG37.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161446719_IPLG37.jpeg
2021-09-20T16:16:29.288Z,,FALSE,GYXN75,2,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161629020_GYXN75.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161629020_GYXN75.jpeg
2021-09-20T16:16:51.882Z,,TRUE,USU6X,0,1,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161650788_USU6X.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161650788_USU6X.jpeg
2021-09-20T16:17:18.974Z,,TRUE,QCEN12,0,1,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161718304_QCEN12.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161718304_QCEN12.jpeg
2021-09-20T16:18:16.879Z,,FALSE,QQVB91,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161816209_QQVB91.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161816209_QQVB91.jpeg
2021-09-20T16:18:39.990Z,,FALSE,QIZP88,2,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161839306_QIZP88.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161839306_QIZP88.jpeg
2021-09-20T16:18:46.239Z,,FALSE,LANU36,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161845668_LANU36.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161845668_LANU36.jpeg
2021-09-20T16:19:00.734Z,,TRUE,JJ8GE,0,1,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161900113_JJ8GE.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161900113_JJ8GE.jpeg
2021-09-20T16:19:18.669Z,,FALSE,KPZH51,2,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161918546_KPZH51.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_161918546_KPZH51.jpeg
